Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,3537,1596,2936,3409,3574,3457,4004,4426,6066,7565,8480,7932
Expenses,3020,1425,2518,2856,3050,2736,3081,3429,4659,5637,6904,6492
Operating Profit,517,171,418,552,525,722,923,997,1406,1928,1577,1440
OPM %,15,11,14,16,15,21,23,23,23,25,19,18
Other Income,21,105,364,88,89,88,133,171,161,-99,180,171
Interest,33,18,48,34,31,31,57,43,96,93,48,70
Depreciation,71,74,75,76,84,89,153,182,240,267,301,330
Profit before tax,435,184,659,531,499,690,845,943,1231,1469,1408,1210
Tax %,26,23,28,24,25,27,24,18,29,25,20,26
Net Profit,320,141,475,401,376,507,644,773,878,1107,1126,892
EPS in Rs,15.98,6.32,23.41,19.99,13.73,17.15,21.54,25.94,29.29,36.94,36.89,29.56
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,,
---,---,---,---,---,---,---,---,---,,,,
Sales,1996,1953,2854,6751,11398,14444,26537,30043,,,,
Expenses,1903,1868,2748,5915,9823,11723,20628,23692,,,,
Operating Profit,93,85,106,836,1574,2722,5909,6351,,,,
OPM %,4.7,4.3,3.7,12,14,19,22,21,,,,
Other Income,25,45,97,88,576,398,413,413,,,,
Interest,34,31,41,82,140,152,280,308,,,,
Depreciation,27,29,43,164,277,402,990,1138,,,,
Profit before tax,57,70,118,677,1734,2565,5052,5319,,,,
Tax %,31,31,33,26,27,25,23,—,,,,
Net Profit,39,48,80,500,1274,1928,3884,4003,,,,
EPS in Rs,2.12,2.5,3.84,24.49,62.76,65,129.02,132.68,,,,
Dividend Payout %,0,0,0,0,0,0,2,—,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Equity Capital,197,197,197,243,263,287,288,,,,,
Reserves,101,148,231,1595,3825,9192,14150,,,,,
Borrowings,157,340,363,320,553,1199,3213,,,,,
Other Liabilities,483,596,1362,5247,6635,9028,12465,,,,,
Total Liabilities,938,1281,2154,7406,11277,19706,30115,,,,,
Fixed Assets,152,285,625,1105,1450,4051,7329,,,,,
CWIP,40,3,124,537,1341,1884,3476,,,,,
Investments,85,115,143,31,71,65,953,,,,,
Other Assets,661,878,1262,5732,8414,13706,18358,,,,,
Total Assets,938,1281,2154,7406,11277,19706,30115,,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Cash from Operating Activity,83,67,698,1560,2305,3158,1627,,,,,
Cash from Investing Activity,-22,-250,-673,-2088,-3346,-6806,-3953,,,,,
Cash from Financing Activity,-50,161,101,642,909,4036,2573,,,,,
Net Cash Flow,12,-21,126,114,-132,388,247,,,,,
Free Cash Flow,32,-35,202,698,968,-114,-3209,,,,,
CFO/OP,102,105,683,199,168,143,47,,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Debtor Days,26,22,12,17,31,30,34,,,,,
Inventory Days,54,83,85,192,108,96,118,,,,,
Days Payable,67,99,83,143,84,91,63,,,,,
Cash Conversion Cycle,13,6,14,66,55,35,90,,,,,
Working Capital Days,10,2,-84,-66,-40,-87,-26,,,,,
ROCE %,—,16,21,52,44,35,39,,,,,
